City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Halvad,IN,2022-01-30 23:57:23,23.0167,71.1833,62.19,81,0,7.2
68,Tuatapere,NZ,2022-01-30 23:57:23,-46.1333,167.6833,70.83,65,37,4.92
69,Nha Trang,VN,2022-01-30 23:57:23,12.25,109.1833,71.6,84,83,3.22
70,Yako,BF,2022-01-30 23:55:03,12.9667,-2.2667,71.38,13,18,10.18
71,Zanjan,IR,2022-01-30 23:54:41,36.6736,48.4787,12.49,96,34,4.25
72,Kalianget,ID,2022-01-30 23:57:25,-7.05,113.9333,79.79,84,100,7.38
73,Upernavik,GL,2022-01-30 23:55:30,72.7868,-56.1549,-4.59,97,100,2.73
74,Tasiilaq,GL,2022-01-30 23:57:26,65.6145,-37.6368,-3.62,53,98,8.77
75,Chai Badan,TH,2022-01-30 23:57:26,15.2,101.1333,72.9,83,9,3.31
76,Tucurui,BR,2022-01-30 23:57:26,-3.7661,-49.6725,75.07,88,99,1.21
77,Tombouctou,ML,2022-01-30 23:56:20,20.0,-3.0,70.66,15,85,12.48
78,Tabuk,PH,2022-01-30 23:57:27,17.4189,121.4443,70.68,87,54,5.82
79,Sola,VU,2022-01-30 23:57:28,-13.8833,167.55,83.07,84,75,4.61
80,Awbari,LY,2022-01-30 23:57:28,26.5921,12.7805,44.33,53,0,3.89
81,Jalu,LY,2022-01-30 23:57:28,29.0331,21.5482,54.34,59,82,13.91
82,Gorinchem,NL,2022-01-30 23:56:24,51.8365,4.9724,42.06,82,91,5.99
83,Penzance,GB,2022-01-30 23:56:03,50.1186,-5.5371,47.77,76,89,23.91
84,Kahului,US,2022-01-30 23:57:08,20.8947,-156.47,78.67,54,9,11.74
85,Cabo San Lucas,MX,2022-01-30 23:55:53,22.8909,-109.9124,77.61,69,83,7.63
86,Iqaluit,CA,2022-01-30 23:57:30,63.7506,-68.5145,-22.27,76,0,5.75
87,Taloda,IN,2022-01-30 23:57:30,21.5667,74.2167,63.57,30,3,2.73
88,New Norfolk,AU,2022-01-30 23:58:31,-42.7826,147.0587,80.65,41,3,1.99
89,East London,ZA,2022-01-30 23:55:04,-33.0153,27.9116,74.16,84,88,14.05
90,Barrow,US,2022-01-30 23:56:12,71.2906,-156.7887,-15.43,100,79,8.9
91,Mecca,SA,2022-01-30 23:58:32,21.4267,39.8261,67.77,60,99,4.54
92,Amahai,ID,2022-01-30 23:58:32,-3.3333,128.9167,83.19,71,100,8.93
93,Te Kauwhata,NZ,2022-01-30 23:58:33,-37.4,175.15,81.14,41,93,7.7
94,Tuktoyaktuk,CA,2022-01-30 23:58:33,69.4541,-133.0374,-0.4,78,100,20.71
95,Yellowknife,CA,2022-01-30 23:56:23,62.456,-114.3525,-6.45,81,75,6.91
96,Vostok,RU,2022-01-30 23:58:34,46.4856,135.8833,-7.98,92,52,1.21
97,Touros,BR,2022-01-30 23:58:34,-5.1989,-35.4608,79.7,78,18,11.97
98,Santa Cruz De Tenerife,ES,2022-01-30 23:54:40,28.4682,-16.2546,65.64,80,1,4.0
99,Corn Island,NI,2022-01-30 23:58:35,12.1694,-83.0418,78.96,75,5,21.74
100,Huarmey,PE,2022-01-30 23:58:35,-10.0681,-78.1522,71.22,84,100,8.05
101,Albany,US,2022-01-30 23:58:36,42.6001,-73.9662,15.64,50,23,3.83
102,Puerto Ayora,EC,2022-01-30 23:58:36,-0.7393,-90.3518,74.64,78,100,7.67
103,Saint George,US,2022-01-30 23:58:36,37.1041,-113.5841,63.07,16,0,1.01
104,Grand Gaube,MU,2022-01-30 23:58:37,-20.0064,57.6608,79.2,82,100,1.99
105,Camacha,PT,2022-01-30 23:58:37,33.0833,-16.3333,61.56,82,20,18.41
106,Puerto Leguizamo,CO,2022-01-30 23:58:38,-0.1934,-74.7819,81.77,60,100,1.59
107,Rypefjord,NO,2022-01-30 23:58:38,70.6333,23.6667,30.67,69,20,10.36
108,Vestmannaeyjar,IS,2022-01-30 23:57:57,63.4427,-20.2734,31.77,63,100,36.86
109,Conceicao Da Barra,BR,2022-01-30 23:58:39,-18.5933,-39.7322,79.25,82,53,10.38
110,Avarua,CK,2022-01-30 23:58:39,-21.2078,-159.775,73.45,94,40,8.05
111,Hobart,AU,2022-01-30 23:58:40,-42.8794,147.3294,81.01,60,20,1.01
112,Elban,RU,2022-01-30 23:58:40,50.1018,136.5094,-17.32,99,52,4.16
113,Norman Wells,CA,2022-01-30 23:58:41,65.282,-126.8329,-25.56,68,75,0.0
114,Sfantu Gheorghe,RO,2022-01-30 23:58:41,45.8667,25.7833,33.93,95,100,17.67
115,Santiago,CL,2022-01-30 23:58:42,-33.4569,-70.6483,78.24,45,0,8.05
116,Rebrikha,RU,2022-01-30 23:58:42,53.0733,82.3408,10.62,91,15,9.24
117,Sao Miguel Do Araguaia,BR,2022-01-30 23:58:43,-13.275,-50.1628,70.81,96,100,2.68
118,Oum Hadjer,TD,2022-01-30 23:58:43,13.2954,19.6966,63.12,17,1,12.68
119,Prado,BR,2022-01-30 23:58:44,-17.3411,-39.2208,79.07,84,11,12.62
120,Pajan,EC,2022-01-30 23:58:44,-1.5667,-80.4167,73.29,93,100,2.62
121,Moctezuma,MX,2022-01-30 23:58:44,29.8,-109.6667,68.05,23,14,10.42
122,Gillette,US,2022-01-30 23:58:45,44.2911,-105.5022,44.02,24,51,4.41
123,Adrar,MR,2022-01-30 23:58:45,20.5022,-10.0711,73.2,13,100,11.3
124,Saint-Philippe,RE,2022-01-30 23:58:46,-21.3585,55.7679,76.59,86,42,10.47
125,Kalmunai,LK,2022-01-30 23:58:46,7.4167,81.8167,76.06,87,48,4.54
126,Klaksvik,FO,2022-01-30 23:58:47,62.2266,-6.589,34.72,54,99,40.24
127,Sao Borja,BR,2022-01-30 23:58:48,-28.6606,-56.0044,78.94,34,0,9.17
128,Naze,JP,2022-01-30 23:58:48,28.3667,129.4833,50.92,62,94,18.59
129,Luderitz,NA,2022-01-30 23:54:16,-26.6481,15.1594,64.33,88,60,12.46
130,Bosaso,SO,2022-01-30 23:58:49,11.2842,49.1816,72.64,74,76,3.83
131,Middelburg,ZA,2022-01-30 23:58:49,-25.7751,29.4648,59.41,93,100,5.73
132,Kapaa,US,2022-01-30 23:58:46,22.0752,-159.319,80.47,85,8,3.0
133,Khilok,RU,2022-01-30 23:58:50,51.3674,110.4676,-15.0,99,98,2.75
134,Skibbereen,IE,2022-01-30 23:58:50,51.55,-9.2667,46.2,75,91,16.96
135,Saint-Augustin,CA,2022-01-30 23:54:36,51.226,-58.6502,11.95,82,99,28.32
136,Hammerfest,NO,2022-01-30 23:58:51,70.6634,23.6821,30.65,69,20,10.36
137,Bengkulu,ID,2022-01-30 23:59:51,-3.8004,102.2655,75.85,88,97,4.83
