City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pevek,RU,69.7008,170.3133,-28.82,99,38,3.29,scattered clouds
80,Castro,BR,-24.7911,-50.0119,75.85,78,95,8.34,heavy intensity rain
81,Pingtung,TW,22.6714,120.4881,58.82,83,15,3.04,few clouds
82,Provideniya,RU,64.3833,-173.3,-5.94,86,2,10.76,clear sky
83,Hondo,JP,32.45,130.2,38.95,60,91,21.12,overcast clouds
84,Beloha,MG,-25.1667,45.05,75.85,84,100,18.32,overcast clouds
85,Kavieng,PG,-2.5744,150.7967,81.21,78,82,6.26,broken clouds
86,Nizhnevartovsk,RU,60.9344,76.5531,15.82,92,100,6.71,light snow
87,Airai,TL,-8.9266,125.4092,61.03,92,93,1.83,overcast clouds
88,Hohhot,CN,40.8106,111.6522,14.2,54,57,4.54,broken clouds
89,Magalia,US,39.8121,-121.5783,50.16,41,100,3.29,overcast clouds
90,Salekhard,RU,66.53,66.6019,-19.86,100,39,0.92,scattered clouds
91,Bredasdorp,ZA,-34.5322,20.0403,70.29,79,63,20.74,broken clouds
92,Cayenne,GF,4.9333,-52.3333,84.24,80,75,8.01,broken clouds
93,Veraval,IN,20.9,70.3667,67.28,67,4,6.51,clear sky
94,Kokkola,FI,63.8385,23.1307,29.93,94,75,5.75,broken clouds
95,Ahuimanu,US,21.4447,-157.8378,69.78,88,75,6.91,broken clouds
96,Balakhninskiy,RU,58.0106,114.2769,-6.38,100,99,2.46,overcast clouds
97,Kaitangata,NZ,-46.2817,169.8464,45.28,88,43,6.35,scattered clouds
98,Savannah Bight,HN,16.45,-85.85,82.45,74,1,14.72,clear sky
99,Ust-Barguzin,RU,53.45,108.9833,2.03,98,96,4.14,overcast clouds
100,Pecos,US,31.4229,-103.4932,42.3,41,0,0.0,clear sky
101,Tuktoyaktuk,CA,69.4541,-133.0374,-30.42,99,56,8.93,broken clouds
102,Yuanping,CN,38.7153,112.7575,25.27,30,97,4.5,overcast clouds
103,Palaikastron,GR,35.2,26.25,52.75,62,6,4.18,clear sky
104,Grand Forks,US,47.9417,-97.4337,10.33,92,100,3.22,snow
105,Te Anau,NZ,-45.4167,167.7167,39.87,94,13,2.44,few clouds
106,Porto Belo,BR,-27.1578,-48.5531,95.63,64,39,11.12,scattered clouds
107,Koygorodok,RU,60.445,50.9968,9.82,95,20,5.99,few clouds
108,Yellowknife,CA,62.456,-114.3525,-12.59,86,75,6.91,light snow
109,Mana,GF,5.6592,-53.7767,81.37,75,65,10.71,broken clouds
110,Ponta Do Sol,PT,32.6667,-17.1,72.12,40,3,11.16,clear sky
111,Shenjiamen,CN,29.9576,122.298,39.27,63,5,14.83,clear sky
112,Isangel,VU,-19.55,169.2667,79.7,90,100,14.45,overcast clouds
113,Jasper,US,37.2001,-94.3502,39.34,42,0,7.0,clear sky
